Arc Length/mm,Actual Arc length/m,Radius/mm,Actual Radius/m,Angle/ Degrees,Grade,Angle/degrees (+)
0.204,7.05669673,0,0,0,0,0
0.344,11.89952782,0.241,8.336587803,81.78318735,0,81.78318735
0.111,3.839673221,0,0,0,0,0
0.223,7.713938092,0.251,8.68250431,50.90421845,0,50.90421845
0.356,12.31462763,0,0,0,0,0
0.456,15.77379269,0.479,16.56940065,54.54462517,0,54.54462517
0.1046,3.618286657,0,0,0,0,0
0.3865,13.36967297,0.3566,12.33538262,62.09988441,0,62.09988441
0.2385,8.250108677,0,0,0,0,0
0.8893,30.76235491,0.3581,12.38727009,142.2874524,0,142.2874524
0.1536,5.313277538,0,0,0,0,0
0.413,14.28635171,0.247,8.544137707,95.80225481,0,95.80225481
0.2225,7.696642266,0,0,0,0,0
0.1687,5.835611462,0.0813,2.812301197,118.8905044,0,118.8905044
0.2052,7.09820671,0,0,0,0,0
0.2812,9.727172159,0.1609,5.565796587,100.1340783,0,100.1340783
0.1345,4.652577011,0,0,0,0,0
0.1917,6.631219427,0.1144,3.957284833,96.01049766,0,96.01049766
0.1921,6.645056087,0,0,0,0,0
0.2854,9.872457091,0.1428,4.939687711,114.5113128,0,114.5113128
0.1,3.459165064,0,0,0,0,0
0.2759,9.54383641,0.1211,4.189048892,130.5359667,0,130.5359667
0.3397,11.75078372,0,0,0,0,0
0.4112,14.22408674,0.2977,10.29793439,79.14015632,0,79.14015632
0.1,3.459165064,0,0,0,0,0
0.3599,12.44953506,0.3703,12.80928823,55.68660828,0,55.68660828
0.1326,4.586852874,0,0,0,0,0
0.2018,6.980595098,0.1849,6.395996203,62.53265714,0,62.53265714
0.1408,4.87050441,0,0,0,0,0
0.3944,13.64294701,0.3613,12.49796337,62.54485314,0,62.54485314
0.1938,6.703861893,0,0,0,0,0
0.2703,9.350123167,0.54642,18.90156974,28.34275686,0,28.34275686
0.4525,15.65272191,0,0,0,0,0
0.2779,9.613019712,0.2334,8.073691258,68.21978203,0,68.21978203
0.0723,2.500976341,0,0,0,0,0
0.2203,7.620540635,0.2138,7.395694906,59.03769984,0,59.03769984
0.6137,21.228896,0,0,0,0,0
0.1751,6.056998026,0.1928,6.669270243,52.03574166,0,52.03574166
0.0943,3.261992655,0,0,0,0,0
0.2181,7.544439004,0.3391,11.73002873,36.85110443,0,36.85110443
0.0976,3.376145102,0,0,0,0,0
0.2514,8.69634097,0.3673,12.70551328,39.21633262,0,39.21633262
0.0583,2.016693232,0,0,0,0,0
0.2769,9.578428061,0.5568,19.26063107,28.4935369,0,28.4935369
2.3145,80.0623754,0,0,0,0,0
0.3755,12.98916481,0.5805,20.08045319,37.06212783,0,37.06212783
0.0706,2.442170535,0,0,0,0,0
0.408,14.11339346,0.1978,6.842228496,118.1834077,0,118.1834077
0.08,2.767332051,0,0,0,0,0
0.1609,5.565796587,0.25,8.647912659,36.87556369,0,36.87556369
0.122,4.220181378,0,0,0,0,0
1.1725,40.55871037,0.9076,31.39538212,74.01862217,0,74.01862217
0.4758,16.45870737,0,0,0,0,0
0.3622,12.52909586,0.2552,8.827789242,81.31869647,0,81.31869647
0.097,3.355390112,0,0,0,0,0
0.2357,8.153252055,0.3084,10.66806506,43.78928415,0,43.78928415
0.7306,25.27265995,0,0,0,0,0
0.5853,20.24649312,0.975,33.72685937,34.39509718,0,34.39509718
0.1387,4.797861943,0,0,0,0,0
0.4249,14.69799236,0.4919,17.01563295,49.49171928,0,49.49171928
0.1078,3.728979939,0,0,0,0,0
