Arc Length/mm,Actual Arc length/m,Radius/mm,Actual Radius/m,Angle/ Degrees,Grade,Angle/degrees (+)
0.4286,14.82598146,0.3449,11.9306603,71.20026413,0,71.20026413
0.0768,2.656638769,,0,0,0,0
0.1738,6.012028881,0.3269,11.30801059,30.46193478,0,30.46193478
0.2686,9.291317361,,0,0,0,0
0.6602,22.83740775,0.772,26.70475429,48.99828191,0,48.99828191
0.4344,15.02661304,,0,0,0,0
0.7055,24.40440952,0.5482,18.96314288,73.73617739,0,73.73617739
0.15,5.188747595,,0,0,0,0
1.1671,40.37191546,1.4958,51.74219102,44.70511049,0,44.70511049
1.0061,34.8026597,,0,0,0,0
0.2415,8.353883629,0.3416,11.81650786,40.50623757,0,40.50623757
0.1286,4.448486272,,0,0,0,0
0.2417,8.360801959,0.1566,5.41705249,88.43160861,0,88.43160861
0.1221,4.223640543,,0,0,0,0
0.3377,11.68160042,0.2214,7.658591451,87.39288501,0,87.39288501
0.123,4.254773028,,0,0,0,0
0.1801,6.22995628,0.1171,4.050682289,88.12100675,0,88.12100675
0.1033,3.573317511,,0,0,0,0
0.2981,10.31177105,0.1449,5.012330177,117.8735119,0,117.8735119
0.1017,3.51797087,,0,0,0,0
0.2339,8.090987084,0.1212,4.192508057,110.5732907,0,110.5732907
0.0943,3.261992655,,0,0,0,0
0.1708,5.908253929,0.1982,6.856065156,49.37497044,0,49.37497044
0.1703,5.890958103,,0,0,0,0
0.3317,11.47405052,0.6051,20.9314078,31.40804836,0,31.40804836
0.37,12.79891074,,0,0,0,0
0.2806,9.706417168,0.4247,14.69107403,37.85541731,0,37.85541731
0.0786,2.71890374,,0,0,0,0
0.2316,8.011426287,0.4042,13.98194519,32.8295461,0,32.8295461
0.0447,1.546246783,,0,0,0,0
0.1336,4.621444525,0.1529,5.289063382,50.06354574,0,50.06354574
0.5304,18.3474115,,0,0,0,0
1.10115,38.0905961,1.4648,50.66984985,43.07157811,0,43.07157811
0.00996,0.34453284,,0,0,0,0
0.3437,11.88915032,0.1948,6.738453544,101.0911674,0,101.0911674
0.1,3.459165064,,0,0,0,0
0.62203,21.51704444,0.4737,16.38606491,75.23684554,0,75.23684554
0.3665,12.67783996,,0,0,0,0
0.2556,8.841625903,0.3174,10.97938991,46.1398905,0,46.1398905
0.0806,2.788087041,,0,0,0,0
0.4398,15.21340795,0.2091,7.233114148,120.5102048,0,120.5102048
0.1591,5.503531616,,0,0,0,0
0.6857,23.71949484,0.5422,18.75559297,72.45982297,0,72.45982297
0.0814,2.815760362,,0,0,0,0
0.4141,14.32440253,0.2141,7.406072401,110.8182265,0,110.8182265
0.2572,8.896972544,,0,0,0,0
0.292,10.10076199,0.4659,16.11625003,35.90978239,0,35.90978239
0.3311,11.45329553,,0,0,0,0
0.001,0.001,0.001,0.001,0.001,0,0.001
